"","batter","pitch_type_condensed","p_throws","stand","avgEV","avgLA","zSwingPCT","oSwingPCT","sz_bot","sz_top"
"1",408234,"CB","R","R",83.0291666666667,-4.54166666666667,0.72,0.5,1.80634920634921,3.56603174603175
"2",408234,"CH","L","R",78.36875,-9.5625,0.592592592592593,0.232558139534884,1.81814285714286,3.55571428571429
"3",408234,"CT","R","R",82.459375,5.46875,0.787878787878788,0.277777777777778,1.81666666666667,3.55919540229885
"4",408234,"FF","L","R",84.4758620689655,22.5,0.702970297029703,0.105263157894737,1.82124293785311,3.57067796610169
"5",408234,"FF","R","R",83.6774436090226,28.2255639097744,0.756906077348066,0.24375,1.81111436950147,3.55431085043988
"6",408234,"SI","L","R",84.3125,13.25,0.666666666666667,0.259259259259259,1.809,3.55
"7",408234,"SI","R","R",84.2485294117647,0.220588235294118,0.583333333333333,0.234567901234568,1.80957671957672,3.56417989417989
"8",408234,"SL","R","R",80.1076923076923,12.6923076923077,0.676470588235294,0.361111111111111,1.80520325203252,3.54589430894309
"9",443558,"FF","L","R",90.1592592592593,24.2592592592593,0.53968253968254,0.24,1.64115044247788,3.5370796460177
"10",443558,"FF","R","R",86.8631578947368,19.8947368421053,0.7,0.08,1.63745454545455,3.55072727272727
"11",443558,"SL","R","R",88.16875,20.75,0.551724137931034,0.578947368421053,1.62805970149254,3.52089552238806
"12",444482,"CB","R","L",80.9224489795918,11.6938775510204,0.671875,0.357142857142857,1.71445945945946,3.55790540540541
"13",444482,"CH","R","L",85.2632653061224,-1.41414141414141,0.848837209302326,0.364583333333333,1.72046762589928,3.55888489208633
"14",444482,"CT","R","L",80.7967741935484,7.11111111111111,0.768292682926829,0.314814814814815,1.72477941176471,3.55691176470588
"15",444482,"FF","R","L",82.2528795811518,26.8952879581152,0.745247148288973,0.254237288135593,1.72111363636364,3.55920454545455
"16",444482,"SI","R","L",88.7584415584416,11.6233766233766,0.728155339805825,0.253333333333333,1.71601123595506,3.5535393258427
"17",444482,"SL","R","L",80.3561643835616,9.08219178082192,0.729166666666667,0.446601941747573,1.72829145728643,3.56105527638191
"18",446334,"FF","L","R",86.6285714285714,20,0.590909090909091,0.253731343283582,1.71432258064516,3.61909677419355
"19",446334,"FF","R","R",87,28.8918918918919,0.584415584415584,0.166666666666667,1.70496644295302,3.62503355704698
"20",446334,"SI","L","R",89.562962962963,21.1851851851852,0.568627450980392,0.243243243243243,1.70340909090909,3.61113636363636
"21",446334,"SI","R","R",88.016,-7.88,0.606060606060606,0.323529411764706,1.70910447761194,3.62402985074627
"22",446334,"SL","R","R",80.0933333333333,18.1,0.576923076923077,0.373493975903614,1.69948148148148,3.61318518518519
"23",453568,"CB","R","L",80.7605263157895,15,0.704545454545455,0.461538461538462,1.64843373493976,3.51313253012048
"24",453568,"CH","R","L",80.8864864864865,15.6486486486486,0.766233766233766,0.390625,1.6570243902439,3.51624390243902
"25",453568,"CT","R","L",80.69,17.475,0.614035087719298,0.365384615384615,1.65522935779817,3.51788990825688
"26",453568,"FF","L","L",80.2767441860465,26.6279069767442,0.605633802816901,0.183673469387755,1.65658333333333,3.54433333333333
"27",453568,"FF","R","L",82.4162337662338,32.3961038961039,0.650406504065041,0.203045685279188,1.65334085778781,3.51476297968397
"28",453568,"SI","L","L",75.356,12,0.448979591836735,0.2,1.65123595505618,3.51932584269663
"29",453568,"SI","R","L",83.4341463414634,18.609756097561,0.588235294117647,0.166666666666667,1.67131147540984,3.53811475409836
"30",453568,"SL","L","L",79.1884615384615,14.6538461538462,0.84375,0.204081632653061,1.65098765432099,3.52246913580247
"31",453568,"SL","R","L",84.0814814814815,22.4814814814815,0.75,0.377777777777778,1.66179012345679,3.5158024691358
"32",455117,"CB","R","R",80.9230769230769,5.76923076923077,0.574468085106383,0.259259259259259,1.44336633663366,3.09673267326733
"33",455117,"CH","L","R",89.19,17.45,0.91304347826087,0.225806451612903,1.46314814814815,3.11166666666667
"34",455117,"CT","R","R",80.8761904761905,26.6666666666667,0.727272727272727,0.264705882352941,1.4665671641791,3.11776119402985
"35",455117,"FF","L","R",80.3848484848485,27.8939393939394,0.650943396226415,0.351648351648352,1.46279187817259,3.11
"36",455117,"FF","R","R",82.7194174757282,34.1553398058252,0.633879781420765,0.393063583815029,1.46196629213483,3.11960674157303
"37",455117,"SI","R","R",78.3958904109589,4.38356164383562,0.582677165354331,0.304347826086957,1.45785123966942,3.11681818181818
"38",455117,"SL","R","R",78.0387387387387,13.7207207207207,0.717391304347826,0.298245614035088,1.45577464788732,3.11614084507042
"39",456781,"CH","L","R",75.4604651162791,4.48837209302326,0.8125,0.367647058823529,1.46827586206897,3.17810344827586
"40",456781,"CH","R","R",86.5333333333333,6.11111111111111,0.825,0.369565217391304,1.46802325581395,3.17639534883721
"41",456781,"CT","R","R",84.6227272727273,18.9545454545455,0.657894736842105,0.162790697674419,1.46444444444444,3.15975308641975
"42",456781,"FF","L","R",83.6306818181818,30.375,0.638461538461538,0.292452830188679,1.46262711864407,3.16771186440678
"43",456781,"FF","R","R",82.1291338582677,32.3307086614173,0.647058823529412,0.269938650306748,1.47174386920981,3.1808174386921
"44",456781,"SI","L","R",85.4272727272727,19.5151515151515,0.622641509433962,0.296296296296296,1.459125,3.182375
"45",456781,"SI","R","R",88.21,4.64285714285714,0.552631578947368,0.260869565217391,1.46502732240437,3.16448087431694
"46",456781,"SL","L","R",88.05,9,0.609756097560976,0.261904761904762,1.4489156626506,3.13626506024096
