"","out_base_count_state","runs_expected","occurrences"
"275","2_110_31",0.566160520607375,461
"276","2_110_32",0.5,1044
"277","2_111_00",0.760816723383568,2057
"278","2_111_01",0.613089509143407,1039
"279","2_111_02",0.453590192644483,571
"280","2_111_10",0.89041095890411,803
"281","2_111_11",0.734146341463415,820
"282","2_111_12",0.511749347258486,766
"283","2_111_20",1.05818181818182,275
"284","2_111_21",0.896464646464647,396
"285","2_111_22",0.64274322169059,627
"286","2_111_30",1.36263736263736,91
"287","2_111_31",1.20348837209302,172
"288","2_111_32",0.854545454545454,385
