"","pitcher","pitch_type_condensed","pitches","totalPitches","usagePCT","p_throws","avgVelo","avgRPX","avgRPZ","avgRPY","avgHBRK","avgVBRK","sdVelo","sdRPX","sdRPZ","sdRPY","sdHBRK","sdVBRK"
"1",425794,"CB",546,1782,0.306397306397306,"R",71.4628205128205,-1.24412087912088,6.28752747252747,54.1786996336996,1.37879120879121,-1.13168498168498,1.6063836280247,0.476550733789372,0.193280525737066,0.159228511231049,0.190544378022463,0.19756243847234
"2",425794,"CH",97,1782,0.0544332210998878,"R",81.6742268041237,-1.38762886597938,6.13773195876289,53.9927835051546,-1.17577319587629,0.728350515463917,1.93817345019068,0.485965047602612,0.136530713536668,0.153804138625784,0.24687140314488,0.248124970245049
"3",425794,"CT",406,1782,0.227833894500561,"R",82.9046798029557,-1.21448275862069,6.28694581280788,54.0134729064039,0.461379310344828,0.647241379310345,1.2457741986455,0.478624679318376,0.121399379743791,0.171572273235325,0.178542989160282,0.209685892923039
"4",425794,"FF",206,1782,0.115600448933782,"R",85.9888349514563,-1.1854854368932,6.23781553398058,53.9602427184466,-0.284077669902913,1.18276699029126,1.2653049770001,0.420200309122782,0.121989943413807,0.156577540427204,0.3295109070128,0.220464286312296
"5",425794,"SI",519,1782,0.291245791245791,"R",86.8772639691715,-1.29840077071291,6.13140655105973,53.9615606936416,-1.11504816955684,0.935452793834297,1.10108030037285,0.49753712466922,0.153282445643097,0.150674390286874,0.184684714097189,0.203257585180232
"6",425844,"CB",313,2207,0.14182147711826,"R",72.45303514377,-1.30702875399361,6.18805111821086,54.6395846645367,0.957923322683706,-0.895367412140575,2.18246186606728,0.220604768566202,0.122797404316046,0.2341326465368,0.195186877578048,0.193276263246752
"7",425844,"CH",362,2207,0.16402356139556,"R",86.5022038567493,-1.50914600550964,6.14730027548209,54.4713223140496,-1.11099173553719,0.350027548209366,1.31369564000598,0.183040882896002,0.087417747764589,0.239161549282914,0.185433961493456,0.231724854253442
"8",425844,"CT",153,2207,0.0693248753964658,"R",85.2183006535948,-1.35869281045752,6.32450980392157,54.5635294117647,0.572549019607843,0.359542483660131,1.36514111033182,0.273153351980111,0.129457070594599,0.183652527273637,0.198939720478091,0.294467270697801
"9",425844,"FF",585,2207,0.26506570004531,"R",89.52,-1.2982905982906,6.28846153846154,54.4821367521368,-0.23774358974359,1.31100854700855,1.07922156116443,0.217799119612367,0.143053870640271,0.192061763484713,0.210185915495563,0.170223991019493
"10",425844,"SI",351,2207,0.159039420027186,"R",89.8156695156695,-1.42179487179487,6.17968660968661,54.4400284900285,-1.22421652421652,0.801054131054131,0.891617819574248,0.200513406967281,0.0818476900287624,0.19753118896663,0.176508676793275,0.163701033869761
"11",425844,"SL",443,2207,0.200724966017218,"R",79.1832957110609,-1.41997742663657,6.1561625282167,54.6119864559819,1.12821670428894,0.197855530474041,1.36271985503527,0.195006089789271,0.0982157139463531,0.220540532585231,0.305478229024784,0.257305313451169
"12",434378,"CB",518,2592,0.199845679012346,"R",78.2455598455598,-1.59005791505792,6.96059845559846,54.5433976833977,0.584111969111969,-1.1022972972973,1.37941819628471,0.159135103498476,0.126374183261069,0.175454205133624,0.180211253133324,0.192153459667823
"13",434378,"CH",121,2592,0.0466820987654321,"R",85.1892561983471,-1.70512396694215,6.89305785123967,54.5034710743802,-1.28223140495868,0.747190082644628,1.19064419908528,0.144989170299482,0.108142213274979,0.158680553018749,0.149060880198359,0.221976812379491
"14",434378,"FF",1296,2592,0.5,"R",94.2989976869699,-1.36835774865073,7.03023901310717,54.5190208172706,-0.664880493446415,1.56578257517348,1.08864392687953,0.191032772228479,0.143496961688532,0.150649971517285,0.184399690178774,0.149102848665248
"15",434378,"SL",657,2592,0.253472222222222,"R",86.8748475609756,-1.55010654490107,6.96983257229833,54.5074277016743,0.366940639269406,0.318645357686454,1.32887772472159,0.174290777771646,0.136960035023089,0.163533546270598,0.201013251462721,0.217475448461307
"16",445276,"CT",546,707,0.772277227722772,"R",94.257326007326,-2.45959706959707,6.18369963369963,53.6675457875458,0.130274725274725,1.50336996336996,1.3530229125115,0.310397529532728,0.160736417320645,0.209756133436743,0.228198604918219,0.149289444051881
"17",445276,"SI",76,707,0.107496463932108,"R",95.3052631578947,-2.07078947368421,6.30802631578947,53.5719736842105,-0.745526315789474,1.48197368421053,1.28643121198061,0.317220273239883,0.143061942172772,0.206849508817995,0.32055948896408,0.169642917029405
"18",445276,"SL",85,707,0.12022630834512,"R",84.1247058823529,-2.41647058823529,6.24047058823529,53.7230588235294,0.604470588235294,-0.316705882352941,1.40711676524602,0.271423521993427,0.144023029593261,0.218190739674148,0.156086864417533,0.192659261486217
"19",445926,"CB",28,541,0.0517560073937153,"R",75.9071428571429,-1.64964285714286,5.23285714285714,54.1185714285714,1.32464285714286,-0.6,0.732286409981358,0.0833325396787604,0.0980119850138196,0.106691465371269,0.128105342730031,0.155587298348572
"20",445926,"CH",73,541,0.134935304990758,"R",84.8369863013699,-1.71219178082192,5.06904109589041,54.0943835616438,-1.33465753424658,0.164931506849315,1.16660795677457,0.106356927572293,0.145813468966744,0.118906899871868,0.154201187052111,0.207157503737234
"21",445926,"CT",278,541,0.513863216266174,"R",88.489605734767,-1.76,4.97627240143369,54.2399283154122,-0.0665232974910394,1.02867383512545,0.986126527099342,0.121222786755531,0.143184783985854,0.141716082645004,0.206851418528761,0.158776904693396
